Reporting_country,Partner_country,Export_value
ALB,AFG,0.312741
ALB,AGO,31.370624
ALB,AIA,0.329376
ALB,AND,30.97673
ALB,ARE,13746.853919
ALB,ARG,11016.175156
ALB,ARM,2.433189
ALB,ASM,4.619527
ALB,ATF,1.395439
ALB,ATG,34.378096
ALB,AUS,1753.952065
ALB,AUT,67456.928447
ALB,AZE,3413.107487
ALB,BDI,2.316565
ALB,BEL,71127.462259
ALB,BEN,0.033298
ALB,BFA,18.935305
ALB,BGD,8187.905191
ALB,BGR,97782.500145
ALB,BHR,6568.377393
ALB,BHS,81.69234
ALB,BIH,29217.379781
ALB,BLR,696.906181
ALB,BLZ,0.062065
ALB,BMU,0.531626
ALB,BOL,36.571208
ALB,BRA,36640.912635
ALB,BRB,45.812032
ALB,BRN,8.134981
ALB,BTN,15.551657
ALB,CAF,0.834196
ALB,CAN,60597.27209
ALB,CCK,4.403286
ALB,CHE,70861.914434
ALB,CHL,2596.018551
ALB,CHN,629848.580368
ALB,CIV,206.913752
ALB,CMR,309.720915
ALB,COG,6.175321
ALB,COK,0.149845
ALB,COL,34660.1754
ALB,CRI,2924.581993
ALB,CUB,286.822663
ALB,CXR,6.85037
ALB,CYP,2664.108044
ALB,CZE,79448.672381
ALB,DEU,527067.4274
ALB,DNK,12370.940523
ALB,DOM,276.726884
ALB,DZA,68942.850289
ALB,EAS,791545.698016
ALB,ECS,5916985.878792
ALB,ECU,29086.665782
ALB,EGY,29251.690398
ALB,ERI,0.573435
ALB,ESP,111311.644054
ALB,EST,7019.817327
ALB,ETH,231.796471
ALB,FIN,9143.589457
ALB,FJI,6.489165
ALB,FLK,4871.32005
ALB,FRA,123542.210909
ALB,GAB,136.152094
ALB,GBR,63158.414046
ALB,GEO,1359.844634
ALB,GHA,20.4128
ALB,GMB,0.083578
ALB,GRC,618467.453767
ALB,GRD,0.11987
ALB,GRL,10591.207849
ALB,GTM,350.641299
ALB,GUM,0.880699
ALB,GUY,20.258327
ALB,HKG,1462.125155
ALB,HND,183.801048
ALB,HRV,76377.970703
ALB,HTI,1.696444
ALB,HUN,52720.820946
ALB,IDN,14092.612857
ALB,IND,63400.141839
ALB,IOT,0.086003
ALB,IRL,22664.112255
ALB,IRN,5999.102331
ALB,IRQ,25.805009
ALB,ISL,25.46548
ALB,ISR,40003.895803
ALB,ITA,1878565.626848
ALB,JAM,12.239818
ALB,JOR,656.491577
ALB,JPN,30148.936832
ALB,KAZ,6830.143595
ALB,KEN,147.646695
ALB,KGZ,475.236831
ALB,KHM,3640.132668
ALB,KNA,3.109377
ALB,KOR,58875.5214
ALB,KWT,236.602534
ALB,LAO,73.443816
ALB,LBN,2006.889551
ALB,LBY,87536.321658
ALB,LCA,0.117571
ALB,LCN,128988.164244
ALB,LKA,2638.6554
ALB,LTU,10620.064988
ALB,LUX,2958.600201
ALB,LVA,4346.593592
ALB,MAC,98.13449
ALB,MAR,7117.01167
ALB,MDA,983.516001
ALB,MDG,128.93092
ALB,MDV,0.544899
ALB,MEA,402314.99282
ALB,MEX,7147.898574
ALB,MKD,106119.324303
ALB,MLT,2155.423697
ALB,MMR,687.100551
ALB,MNG,0.169339
ALB,MNT,25637.349438
ALB,MOZ,43.102007
ALB,MRT,15.125231
ALB,MUS,236.172092
ALB,MWI,6.01803
ALB,MYS,8602.580673
ALB,NAC,202491.06613
ALB,NAM,27.428848
ALB,NER,3.837912
ALB,NFK,27.900505
ALB,NGA,494.441923
ALB,NIC,64.102231
ALB,NLD,74394.73186
ALB,NOR,8343.352844
ALB,NPL,0.950714
ALB,NZL,315.312802
ALB,OAS,9992.712375
ALB,OMN,4762.160501
ALB,PAK,8534.451573
ALB,PAN,35.171016
ALB,PER,1555.630752
ALB,PHL,1230.24512
ALB,PNG,229.092346
ALB,POL,119707.508307
ALB,PRK,40.554647
ALB,PRT,22316.466007
ALB,PRY,1437.56083
ALB,QAT,4276.471224
ALB,ROM,70169.961478
ALB,RUS,145253.608953
ALB,RWA,1.587788
ALB,SAS,82778.514014
ALB,SAU,106438.564834
ALB,SEN,4.054024
ALB,SER,410704.115393
ALB,SGP,2043.830061
ALB,SLE,6.892623
ALB,SLV,15.088838
ALB,SMR,1148.950012
ALB,SOM,0.071658
ALB,SSF,5686.364833
ALB,STP,0.611456
ALB,SUD,35.651792
ALB,SUR,12.891236
ALB,SVK,22230.642716
ALB,SVN,50294.073531
ALB,SWE,22446.742879
ALB,SWZ,712.900777
ALB,SYR,61.551546
ALB,TCA,29.22449
ALB,TGO,0.696647
ALB,THA,13707.692745
ALB,TJK,0.686002
ALB,TKL,0.558307
ALB,TKM,6946.762942
ALB,TMP,0.077067
ALB,TTO,21.263755
ALB,TUN,22528.13875
ALB,TUR,831763.117758
ALB,TUV,0.331366
ALB,TZA,157.494346
ALB,UGA,609.25147
ALB,UKR,36147.917654
ALB,UMI,0.482641
ALB,UNS,189172.622106
ALB,URY,303.85723
ALB,USA,141893.262414
ALB,UZB,57.476231
ALB,VCT,2.796355
ALB,VEN,104.100378
ALB,VNM,24675.107747
ALB,WLD,7734905.145339
ALB,WLF,0.004395
ALB,WSM,0.039529
ALB,YEM,0.790136
ALB,ZAF,1780.341591
ALB,ZMB,9.407101
ALB,ZWE,335.03334
AND,AFG,1.4263915975242
AND,ALB,52.9064739073938
AND,ARE,107.246399176231
AND,ARG,7.9018388422418
AND,ARM,81.2349296105058
AND,ATG,1.709065963905
AND,AUS,65.0431068152576
AND,AUT,6461.05770751603
AND,BDI,0.2635645196576
AND,BEL,6571.5759347688
AND,BFA,0.0116243683966
AND,BGD,5553.5214725809
AND,BGR,420.903562414435
AND,BHR,0.3643524055622
AND,BIH,179.842968543839
AND,BLZ,0.316388582351
AND,BOL,31.8413563881248
AND,BRA,145.67533125377
AND,BRB,23.4750513022276
